Size(Bytes),Stride(Bytes),CacheState,Cycles,Bandwidth_GBps
1024,4,cold,318,1.943336
1024,4,warm,288,2.145767
1024,16,cold,102,1.514659
1024,16,warm,86,1.796456
1024,64,cold,52,0.742766
1024,64,warm,44,0.877814
1024,256,cold,44,0.219453
1024,256,warm,34,0.283999
1024,512,cold,40,0.120699
1024,512,warm,30,0.160933
1024,1024,cold,38,0.063526
1024,1024,warm,38,0.063526
1024,2048,cold,28,0.000000
1024,2048,warm,28,0.000000
4096,4,cold,1084,2.280373
4096,4,warm,1032,2.395275
4096,16,cold,280,2.207075
4096,16,warm,278,2.222953
4096,64,cold,98,1.576482
4096,64,warm,90,1.716614
4096,256,cold,54,0.715256
4096,256,warm,48,0.804663
4096,512,cold,46,0.419824
4096,512,warm,42,0.459807
4096,1024,cold,42,0.229904
4096,1024,warm,32,0.301749
4096,2048,cold,40,0.120699
4096,2048,warm,32,0.150874
16384,4,cold,3936,2.512118
16384,4,warm,3872,2.553640
16384,16,cold,1008,2.452305
16384,16,warm,1000,2.471924
16384,64,cold,268,2.305899
16384,64,warm,272,2.271989
16384,256,cold,96,1.609325
16384,256,warm,96,1.609325
16384,512,cold,68,1.135994
16384,512,warm,70,1.103537
16384,1024,cold,54,0.715256
16384,1024,warm,48,0.804663
16384,2048,cold,48,0.402331
16384,2048,warm,44,0.438907
65536,4,cold,15182,2.605110
65536,4,warm,15298,2.585356
65536,16,cold,3740,2.643769
65536,16,warm,3792,2.607515
65536,64,cold,1844,1.340523
65536,64,warm,1404,1.760630
65536,256,cold,724,0.853565
65536,256,warm,486,1.271566
65536,512,cold,376,0.821783
65536,512,warm,272,1.135994
65536,1024,cold,196,0.788241
65536,1024,warm,154,1.003216
65536,2048,cold,104,0.742766
65536,2048,warm,82,0.942044
262144,4,cold,63252,2.501156
262144,4,warm,62180,2.544277
262144,16,cold,17514,2.258238
262144,16,warm,17248,2.293065
262144,64,cold,10386,0.952022
262144,64,warm,8724,1.133390
262144,256,cold,4512,0.547855
262144,256,warm,3232,0.764828
262144,512,cold,2170,0.569568
262144,512,warm,1556,0.794320
262144,1024,cold,1054,0.586320
262144,1024,warm,698,0.885360
262144,2048,cold,490,0.630593
262144,2048,warm,382,0.808876
1048576,4,cold,210800,3.001957
1048576,4,warm,216858,2.918096
1048576,16,cold,62444,2.533520
1048576,16,warm,62268,2.540681
1048576,64,cold,40198,0.983899
1048576,64,warm,36516,1.083108
1048576,256,cold,19312,0.511997
1048576,256,warm,16376,0.603792
1048576,512,cold,9992,0.494781
1048576,512,warm,8294,0.596075
1048576,1024,cold,4700,0.525941
1048576,1024,warm,3834,0.644738
1048576,2048,cold,2360,0.523713
1048576,2048,warm,1894,0.652567
4194304,4,cold,957178,2.644492
4194304,4,warm,1194706,2.118722
4194304,16,cold,383876,1.648482
4194304,16,warm,591052,1.070655
4194304,64,cold,160484,0.985788
4194304,64,warm,154628,1.023121
4194304,256,cold,73304,0.539545
4194304,256,warm,66882,0.591352
4194304,512,cold,55272,0.357783
4194304,512,warm,52946,0.373501
4194304,1024,cold,18186,0.543698
4194304,1024,warm,20020,0.493891
4194304,2048,cold,8398,0.588693
4194304,2048,warm,8010,0.617209
16777216,4,cold,4496230,2.251887
16777216,4,warm,4867520,2.080115
16777216,16,cold,2434138,1.039896
16777216,16,warm,2975634,0.850659
16777216,64,cold,1953636,0.323915
16777216,64,warm,2258518,0.280189
16777216,256,cold,1173522,0.134811
16777216,256,warm,1151598,0.137377
16777216,512,cold,540656,0.146307
16777216,512,warm,804778,0.098290
16777216,1024,cold,287206,0.137709
16777216,1024,warm,266398,0.148465
16777216,2048,cold,126126,0.156791
16777216,2048,warm,140436,0.140814
67108864,4,cold,18851980,2.148315
67108864,4,warm,19223380,2.106810
67108864,16,cold,9387982,1.078507
67108864,16,warm,9242112,1.095529
67108864,64,cold,9106600,0.277958
67108864,64,warm,8956936,0.282602
67108864,256,cold,4870796,0.129920
67108864,256,warm,4774292,0.132546
67108864,512,cold,2952764,0.107156
67108864,512,warm,2814198,0.112432
67108864,1024,cold,1367404,0.115696
67108864,1024,warm,1221720,0.129492
67108864,2048,cold,721712,0.109603
67108864,2048,warm,652128,0.121298
134217728,4,cold,37627262,2.152695
134217728,4,warm,37889878,2.137774
134217728,16,cold,19312380,1.048550
134217728,16,warm,18944276,1.068924
134217728,64,cold,18125662,0.279300
134217728,64,warm,18023480,0.280884
134217728,256,cold,10268646,0.123251
134217728,256,warm,9706504,0.130389
134217728,512,cold,6040976,0.104753
134217728,512,warm,5697314,0.111072
134217728,1024,cold,2832950,0.111688
134217728,1024,warm,2715646,0.116512
134217728,2048,cold,1596966,0.099065
134217728,2048,warm,1477714,0.107059
268435456,4,cold,75301066,2.151364
268435456,4,warm,74021456,2.188555
268435456,16,cold,39462964,1.026279
268435456,16,warm,38285062,1.057854
268435456,64,cold,36749778,0.275512
268435456,64,warm,36679526,0.276040
268435456,256,cold,20266012,0.124901
268435456,256,warm,20261518,0.124929
268435456,512,cold,11764700,0.107578
268435456,512,warm,11625466,0.108867
268435456,1024,cold,5541068,0.114204
268435456,1024,warm,5514224,0.114760
268435456,2048,cold,2981632,0.106118
268435456,2048,warm,2851046,0.110979
