Size(Bytes),Stride(Bytes),CacheState,Cycles,Bandwidth_GBps
1024,4,cold,1530,0.403909
1024,4,warm,1518,0.407102
1024,16,cold,410,0.376818
1024,16,warm,362,0.426782
1024,64,cold,152,0.254104
1024,64,warm,138,0.279883
1024,256,cold,84,0.114952
1024,256,warm,88,0.109727
1024,512,cold,78,0.061897
1024,512,warm,78,0.061897
1024,1024,cold,70,0.034486
1024,1024,warm,68,0.035500
1024,2048,cold,78,0.000000
1024,2048,warm,76,0.000000
4096,4,cold,5914,0.417978
4096,4,warm,5724,0.431853
4096,16,cold,1394,0.443315
4096,16,warm,1512,0.408718
4096,64,cold,438,0.352729
4096,64,warm,410,0.376818
4096,256,cold,140,0.275884
4096,256,warm,144,0.268221
4096,512,cold,112,0.172428
4096,512,warm,116,0.166482
4096,1024,cold,90,0.107288
4096,1024,warm,84,0.114952
4096,2048,cold,72,0.067055
4096,2048,warm,74,0.065243
16384,4,cold,17504,0.564882
16384,4,warm,17648,0.560273
16384,16,cold,4430,0.557996
16384,16,warm,4336,0.570093
16384,64,cold,1122,0.550785
16384,64,warm,1168,0.529093
16384,256,cold,336,0.459807
16384,256,warm,308,0.501608
16384,512,cold,194,0.398184
16384,512,warm,174,0.443952
16384,1024,cold,126,0.306538
16384,1024,warm,110,0.351126
16384,2048,cold,86,0.224557
16384,2048,warm,80,0.241399
65536,4,cold,74132,0.533518
65536,4,warm,77254,0.511958
65536,16,cold,19544,0.505920
65536,16,warm,19510,0.506801
65536,64,cold,4810,0.513913
65536,64,warm,5156,0.479427
65536,256,cold,1332,0.463950
65536,256,warm,1340,0.461180
65536,512,cold,700,0.441415
65536,512,warm,686,0.450423
65536,1024,cold,396,0.390139
65536,1024,warm,366,0.422118
65536,2048,cold,204,0.378665
65536,2048,warm,208,0.371383
262144,4,cold,287160,0.550923
262144,4,warm,391082,0.404527
262144,16,cold,74916,0.527935
262144,16,warm,82874,0.477240
262144,64,cold,24076,0.410687
262144,64,warm,23444,0.421758
262144,256,cold,5742,0.430499
262144,256,warm,5956,0.415031
262144,512,cold,3126,0.395381
262144,512,warm,2864,0.431551
262144,1024,cold,1500,0.411987
262144,1024,warm,1380,0.447812
262144,2048,cold,792,0.390139
262144,2048,warm,886,0.348748
1048576,4,cold,1174510,0.538789
1048576,4,warm,1290606,0.490322
1048576,16,cold,329650,0.479912
1048576,16,warm,290948,0.543751
1048576,64,cold,94818,0.417123
1048576,64,warm,79054,0.500301
1048576,256,cold,39918,0.247700
1048576,256,warm,26530,0.372699
1048576,512,cold,14910,0.331579
1048576,512,warm,15772,0.313457
1048576,1024,cold,6506,0.379945
1048576,1024,warm,6774,0.364913
1048576,2048,cold,3470,0.356185
1048576,2048,warm,3270,0.377970
4194304,4,cold,4949820,0.511382
4194304,4,warm,5094216,0.496887
4194304,16,cold,1187948,0.532694
4194304,16,warm,1212822,0.521769
4194304,64,cold,444128,0.356211
4194304,64,warm,337500,0.468750
4194304,256,cold,127048,0.311306
4194304,256,warm,93710,0.422055
4194304,512,cold,64504,0.306576
4194304,512,warm,51598,0.383259
4194304,1024,cold,29980,0.329810
4194304,1024,warm,78998,0.125164
4194304,2048,cold,13198,0.374591
4194304,2048,warm,12514,0.395065
16777216,4,cold,21997804,0.460273
16777216,4,warm,23854648,0.424446
16777216,16,cold,5921666,0.427456
16777216,16,warm,6002348,0.421710
16777216,64,cold,2686042,0.235593
16777216,64,warm,2665860,0.237376
16777216,256,cold,1352264,0.116991
16777216,256,warm,1330216,0.118930
16777216,512,cold,916490,0.086309
16777216,512,warm,659312,0.119976
16777216,1024,cold,485698,0.081431
16777216,1024,warm,615734,0.064234
16777216,2048,cold,231014,0.085603
16777216,2048,warm,193412,0.102245
67108864,4,cold,82860992,0.488770
67108864,4,warm,84489872,0.479347
67108864,16,cold,25467058,0.397572
67108864,16,warm,29003418,0.349097
67108864,64,cold,11486598,0.220366
67108864,64,warm,11068538,0.228689
67108864,256,cold,6445060,0.098186
67108864,256,warm,5804278,0.109025
67108864,512,cold,3632062,0.087115
67108864,512,warm,3203068,0.098782
67108864,1024,cold,2501756,0.063237
67108864,1024,warm,2120382,0.074611
67108864,2048,cold,1349768,0.058604
67108864,2048,warm,1976324,0.040025
134217728,4,cold,195161086,0.415042
134217728,4,warm,233444815,0.346977
134217728,16,cold,67752266,0.298883
134217728,16,warm,53853272,0.376022
134217728,64,cold,21147074,0.239395
134217728,64,warm,22630800,0.223700
134217728,256,cold,14567278,0.086881
134217728,256,warm,12756582,0.099213
134217728,512,cold,6866560,0.092159
134217728,512,warm,6708070,0.094336
134217728,1024,cold,4226298,0.074866
134217728,1024,warm,4561678,0.069362
134217728,2048,cold,2379376,0.066489
134217728,2048,warm,2021950,0.078243
268435456,4,cold,411260355,0.393911
268435456,4,warm,362540409,0.446847
268435456,16,cold,116605981,0.347324
268435456,16,warm,107598128,0.376401
268435456,64,cold,52343446,0.193434
268435456,64,warm,58184368,0.174016
268435456,256,cold,27456932,0.092190
268435456,256,warm,27343524,0.092572
268435456,512,cold,15386778,0.082254
268435456,512,warm,16275056,0.077765
268435456,1024,cold,8503800,0.074415
268435456,1024,warm,9114522,0.069429
268435456,2048,cold,4352630,0.072693
268435456,2048,warm,4240052,0.074623
